"Zeit";"Position";"Signalgeschwindigkeit"
8,720615;1,462229;1,810719
8,722311;1,464558;1,372724
8,723872;1,467102;1,630143
8,725481;1,469443;1,45487
8,727068;1,471856;1,521164
8,728597;1,474236;1,556785
8,730244;1,47653;1,392029
8,731939;1,479001;1,45744
8,733599;1,481544;1,532424
8,736667;1,484033;0,8115823
8,738347;1,488634;2,737459
8,740014;1,491156;1,513027
8,741785;1,493655;1,411009
8,743337;1,496312;1,712683
8,744897;1,498639;1,490861
8,746674;1,500981;1,318127
8,749039;1,503645;1,126664
8,75094;1,507192;1,864944
8,75253;1,510046;1,794776
8,754114;1,51243;1,505964
8,755743;1,514805;1,457401
8,757417;1,51725;1,461238
8,758986;1,519759;1,598112
8,760556;1,522114;1,500788
8,765043;1,524469;0,5245655
8,766726;1,5312;4,000564
8,768433;1,533724;1,479668
8,77;1,536283;1,631933
8,771601;1,538635;1,469099
8,773238;1,541036;1,466743
8,774902;1,543492;1,475771
8,776475;1,545988;1,587461
8,778014;1,548347;1,532127
8,780131;1,550656;1,090374
8,782216;1,553832;1,524046
8,78385;1,556959;1,913872
8,785456;1,559409;1,526125
8,787019;1,561818;1,540282
8,788568;1,564163;1,51397
8,790101;1,566487;1,515421
8,791645;1,568787;1,49002
8,793216;1,571102;1,474573
8,794822;1,573458;1,466569
8,796616;1,575867;1,34309
8,798173;1,578558;1,727593
8,799723;1,580894;1,50719
8,801256;1,583219;1,516078
8,803036;1,585519;1,292858
8,804618;1,588188;1,687197
8,806167;1,590561;1,531471
8,807707;1,592885;1,508963
8,809278;1,595195;1,470577
8,811258;1,597552;1,189986
8,813103;1,600522;1,610702
8,817384;1,603289;0,6461997
8,819012;1,60971;3,942536
8,820582;1,612153;1,556198
8,822268;1,614508;1,396797
8,823854;1,617037;1,594317
8,825443;1,619416;1,497544
8,827126;1,621799;1,415978
8,828752;1,624324;1,553418
8,830401;1,626762;1,477115
8,832048;1,629237;1,502926
8,833612;1,631708;1,580434
8,835171;1,634053;1,504321
8,836709;1,636392;1,520126
8,83823;1,638699;1,517537
8,839753;1,64098;1,497415
8,841302;1,643264;1,474631
8,843474;1,645588;1,069876
8,845351;1,648847;1,736489
8,84699;1,651661;1,717297
8,848604;1,65412;1,523111
8,850191;1,656541;1,525609
8,851746;1,658921;1,531453
8,853306;1,661253;1,49405
8,854847;1,663594;1,518988
8,856373;1,665906;1,515376
8,857952;1,668194;1,448976
8,859552;1,670563;1,479765
8,861188;1,672964;1,468015
8,86305;1,675418;1,317917
8,864631;1,67821;1,766237
8,866185;1,680582;1,525778
8,867768;1,682913;1,472723
8,869366;1,685288;1,487018
8,873806;1,687684;0,5395051
8,87548;1,694344;3,979174
8,877132;1,696855;1,518763
8,878717;1,699334;1,565055
8,880254;1,701711;1,546533
8,882013;1,704016;1,310272
8,883646;1,706655;1,615635
8,885215;1,709105;1,561995
8,886761;1,711457;1,521808
8,888295;1,713776;1,511523
8,890383;1,716078;1,102172
8,892331;1,71921;1,607878
8,893925;1,722132;1,833586
8,895563;1,724522;1,45908
8,897154;1,726979;1,544476
8,898752;1,729366;1,493212
8,90036;1,731763;1,490487
8,902047;1,734175;1,429833
8,903662;1,736706;1,567918
